New Mexico,Taos,8,0,32723
New York,Delaware,8,0,44135
New York,Warren,8,0,63944
North Carolina,Cumberland,8,0,335509
Ohio,Columbiana,7,1,101883
Ohio,Fairfield,8,0,157574
Ohio,Wood,8,0,130817
Oklahoma,Wagoner,8,0,81289
Pennsylvania,Adams,8,0,103009
Rhode Island,Newport,8,0,82082
South Carolina,Darlington,8,0,66618
South Carolina,Lancaster,8,0,98012
Tennessee,Greene,8,0,69069
Texas,Guadalupe,8,0,166847
Texas,Wichita,8,0,132230
Virginia,Albemarle,8,0,109330
Virginia,Norfolk city,8,0,242742
Washington,Kittitas,8,0,47935
Wyoming,Natrona,8,0,79858
Alabama,Marion,7,0,29709
California,Madera,7,0,157327
California,Napa,7,0,137744
Colorado,Mesa,7,0,154210
Florida,Baker,7,0,29210
Georgia,Barrow,6,1,83240
Georgia,Laurens,7,0,47546
Indiana,Boone,7,0,67843
Indiana,Howard,6,1,82544
Iowa,Black Hawk,7,0,131228
Iowa,Harrison,7,0,14049
Iowa,Scott,7,0,172943
Kentucky,Pulaski,7,0,64979
Louisiana,Lincoln,7,0,46742
Louisiana,Tangipahoa,7,0,134758
Michigan,Otsego,7,0,24668
Minnesota,Blue Earth,7,0,67653
Minnesota,Scott,7,0,149013
Mississippi,Tunica,6,1,9632
Nebraska,Sarpy,7,0,187196
New Hampshire,Carroll,7,0,48910
New Hampshire,Merrimack,7,0,151391
New Hampshire,Strafford,7,0,130633
New Jersey,Cape May,7,0,92039
New York,Wyoming,7,0,39859
North Carolina,Catawba,7,0,159551
North Carolina,Wilson,7,0,81801
North Dakota,Stark,7,0,31489
Oklahoma,Payne,7,0,81784
Pennsylvania,Erie,7,0,269728
Rhode Island,Kent,7,0,164292
South Carolina,Clarendon,6,1,33745
South Carolina,Pickens,7,0,126884
Tennessee,Cheatham,7,0,40667
Tennessee,Maury,7,0,96387
Texas,Hidalgo,7,0,868707
Texas,Jefferson,7,0,251565
Washington,Cowlitz,7,0,110593
Washington,Franklin,7,0,95222
Washington,Klickitat,7,0,22425
Washington,Lewis,7,0,80707
Wisconsin,Eau Claire,7,0,104646
Wisconsin,Sheboygan,7,0,115340
Alabama,Autauga,6,0,55869
Alabama,Chilton,6,0,44428
Alabama,Cullman,6,0,83768
Arkansas,White,6,0,78753
California,Mono,6,0,14444
Colorado,Chaffee,5,1,20356
Colorado,Montrose,6,0,42758
Florida,DeSoto,6,0,38001
Florida,Highlands,5,1,106221
Florida,Nassau,6,0,88625
Georgia,Glynn,6,0,85292
Georgia,Peach,6,0,27546
Georgia,Whitfield,6,0,104628
Illinois,Peoria,6,0,179179
Indiana,Bartholomew,6,0,83779
Indiana,Porter,6,0,170389
Indiana,Shelby,6,0,44729
Indiana,Vanderburgh,6,0,181451
Kentucky,Christian,6,0,70461
Louisiana,St. Mary,6,0,49348
Maine,Androscoggin,6,0,108277
Maine,Kennebec,6,0,122302
Maine,Penobscot,6,0,152148
Maryland,Wicomico,6,0,103609
Michigan,Hillsdale,6,0,45605
Mississippi,Lincoln,6,0,34153
Mississippi,Scott,6,0,28124
Missouri,Cape Girardeau,6,0,78871
Missouri,Perry,6,0,19136
Montana,Cascade,6,0,81366
Montana,Flathead,6,0,103806
New York,Genesee,6,0,57280
New York,Greene,6,0,47188
New York,Washington,6,0,61204
North Carolina,Henderson,6,0,117417
Ohio,Belmont,6,0,67006
Ohio,Clermont,6,0,206428
